"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1554678_s_at",1.88045424558824,12.1199933543662,3.69670962385202,0.00046219114859219,0.00960679236235923,-0.481065444571729
"203218_at",-1.95704384888235,9.98946413684508,-3.69637374374503,0.000462692240732761,0.00961065716809374,-0.482079759962165
"236030_at",4.6289200012353,7.53918400735211,3.6962456183667,0.000462883524879469,0.00961065716809374,-0.482466666983452
"242384_at",-2.42221085714706,4.81877536632394,-3.69568258534532,0.000463724998005657,0.00962286417403319,-0.484166786958399
"203662_s_at",-4.34042531729411,6.71248246770423,-3.69469583089175,0.000465203264015855,0.00964826485380206,-0.487145969053736
"235984_at",-3.23525976970588,4.38969633977465,-3.69397046711803,0.000466292807954704,0.00966558013823748,-0.489335645726636
"230650_at",5.57807488767647,6.69218857054929,3.6926340711406,0.000468306548014958,0.0097020233206112,-0.493369148785943
"208801_at",1.10420537441177,11.4097246249296,3.69128115612122,0.000470353639947033,0.00973472105375678,-0.497451565967454
"227267_at",1.98147903132353,7.18912975842253,3.69120148752619,0.000470474452374507,0.00973472105375678,-0.49769193611598
"223726_at",-2.00354118008823,2.99188844907042,-3.6910829278536,0.000470654295558932,0.00973472105375678,-0.498049639427893
"227124_at",-2.02003903647059,11.0585753634085,-3.68580476126076,0.000478727613547872,0.00989631146219822,-0.51396686325497
"218245_at",2.54034543782353,6.84232723632394,3.68469805748822,0.000480437085026776,0.00992624339962235,-0.517302483768244
"214193_s_at",2.09446356914706,7.68641120547887,3.68261022296965,0.000483677946494953,0.00998776538698012,-0.523593511199978
"221436_s_at",3.83965837814706,5.84339738421127,3.68239378754465,0.000484015102222579,0.00998929265348328,-0.524245540969563
"218723_s_at",-3.19832526341176,10.6809897648873,-3.68201250882845,0.00048460959119398,0.00999612631748712,-0.525394115585192
"221280_s_at",2.98763004238235,5.08698997183099,3.681138378799,0.000485975165723574,0.0100157481506838,-0.5280270835305
"226463_at",-2.21926106988235,9.74256947161972,-3.68093826710781,0.000486288298647666,0.0100157481506838,-0.528629784185736
"213407_at",-1.7471514047647,7.8614412,-3.68076907656322,0.000486553196745036,0.0100157481506838,-0.529139339601633
"209072_at",-9.17772435394118,5.94079017814085,-3.68072870909034,0.000486616419609552,0.0100157481506838,-0.529260913131378
"1562053_at",-1.81660092408824,3.1261816861831,-3.67928687471468,0.00048887974750693,0.0100568790985789,-0.533602686616478
